Schwierigkeit	Frage	DAS	B	C	D	Antworten	Kategorie
4	Bei welcher Sportart ist es ublich, mit dem Rucken abzuschliessen?	Kanusport	beim Kajakfahren	im Dressurreiten	Rudern	D	SPORT
5	Was macht Dirty Fred Fulig laut Titel zu Jimmys aufrichtigem Bedauern?	er schlagt	Ruckkehr	greift ein	Schritte auf ol	C	LITERATUR
6	Bei welcher Aktivitat wurde das Spinnrad verwendet?	Waschen	Ernte	Mahlzeit	Pflug	A	ALLGEMEINES
7	Wo konnen wir Steine finden?	in einem Obstgarten	im Maul von Walen	in den Bergen	in einem Spiegelgeschaft	B	SPRACHE
8	Die Medici waren die Herren welcher italienischen Stadt?	Rom	Florenz	Neapel	Pescara	B	GESCHICHTE
9	Wie hiess der erfolgreiche Dramatiker Jozsef Szathmary?	John Garay	Gergely Csiky	Karoly Kisfaludy	Ede von Szigliget	D	LITERATUR
10	Der einzige Nachbar welchen Landes ist die Republik Sudafrika?	Malawi	Lesotho	Swasiland	Botswana	B	LaNDER
11	Wer war Prasident der Vereinigten Staaten, als das Waffenstillstandsabkommen zur Beendigung des Vietnamkriegs unterzeichnet wurde?	Ford	Nixon	Johnson	Fuhrmann	B	GESCHICHTE
1	Um wen ging es in der ersten hochst erfolgreichen Rockoper des Autorenpaares Szorenyi-Brody?	uber Pal Pato	uber Ferenc Jozsef	uber Konig Stephan	uber Janos Hary	C	MUSIK
2	"Es ist keinen Cent wert" - sagen wir uber das wertlose Ding. Was hiess fruher Batka?	Getreidesaat	Hemdknopf	Kleingeld	winziger Parasit	C	SPRACHE
3	Wer wurde fruher Taljan genannt?	die Franzosen	die Tataren	die Russen	die Italiener	D	SPRACHE
4	Was machen Schachspieler mit den Steinen des anderen, wenn es einen Steinwechsel gibt?	wird gegen einen Konig ausgetauscht	sie hauen sich gegenseitig um	sie wechseln die Farbe	wird durch einen Laufer ersetzt	B	SPIEL
5	Welcher Vitaminmangel verursacht Skorbut?	Vitamin C	Vitamin-D	Das Vitamin	Vitamin E	A	BIOLOGIE
6	Was bedeutet der Begriff casus belli?	gegenwartige Situation	mildernder Umstand	Ursache des Krieges	hubsche Frau	C	SPRACHE
7	Wer kann den Goncourt-Preis erhalten?	Sportler	Ich schreibe	Missionare	Komponisten	B	ALLGEMEINES
8	In welcher ungarischen Stadt lautet die Glocke um 11 Uhr?	in Szombathely	in Gyor	in Sopron	Koszeg	D	UNGARN
9	Wer hat die Gesetze der Elektrolyse geschaffen?	James Joule	Louis Gay-Lussac	Humphrey Davy	Michael Faraday	D	WISSENSCHAFT
10	Welches ist der einzige in Ungarn gegrundete Monchsorden?	Zisterzienser	Dominikaner	Benediktiner	Paulisten	D	RELIGION
11	Wer war kein Mitglied der im April 1848 eingesetzten Batthyany-Regierung?	Lazar der Schlachter	Gabor Klauzal	Andras Fay	Pal Esterhazy	C	GESCHICHTE
12	Was bedeutet der Name Costa Rica auf Ungarisch?	viel Gluck	reiche Kuste	dicke Erde	Fluss mit reichlich Wasser	B	SPRACHE
13	In welchem Western von Sergio Leone spielt Clint Eastwood nicht die Hauptrolle?	Fur eine Handvoll Dollar	Eine Handvoll Dynamit	Der gute der bose und der Hassliche	Fur ein paar Dollar mehr	B	FILM
1	Warum geht der kleine Hase nach dem Kinderlied in den Wald?	fur Ruben	fur ein Komma	fur einen Fuchs	fur Unkraut	B	LITERATUR
2	Wie heisst der Blockbuster-Actionfilm "Darling...!" von Bruce Willis?	Nimm deine Waffe	flustere die Geheimnisse	eine Rolle ubernehmen	gib dein Leben	D	FILM
3	Wie viele Punkte hat ein Wurfel?	18	23	20	21	D	SPIEL
4	Wo ist das NATO-Hauptquartier?	New York	 Genf	Brussel	Strassburg	C	ALLGEMEINES
5	Welche Tierart darf nicht die Vorsilbe Angora haben?	Ziege	Katze	Hase	Marder	D	BIOLOGIE
6	Mit welchem beruhmten Astronomen tritt Adam in The Tragedy of Man an?	Kopernikus	Kepler	Giordano Bruno	Galileo Galilei	B	LITERATUR
7	Dessen Motto war "Viel Gluck, sonst nichts."	Imre Thokoly	Janos Hunyadi	II. Ferenc Rokoczi	Miklos Zrínyi	D	GESCHICHTE
1	Vervollstandige das Sprichwort! "..., lass das Pferd los!"	Mir ist der Hafer ausgegangen	es hat vier Beine	Er hat einen grossen Kopf	Der Husar nahm zu	C	SPRACHE
2	Wo arbeitet der Croupier?	Im Theater	in einem Spielcasino	in einem Museum	auf einer Rennstrecke	B	ALLGEMEINES
3	Welche Operette wird traditionell an Silvester gespielt?	Eine Nacht in Venedig	Die lustige Witwe	Die Fledermaus	Partykonigin	C	OPER
4	Welcher Kontinent war noch nicht Gastgeber der Olympischen Spiele?	in Nordamerika	in Australien	in Asien	in Afrika	D	SPORT
5	Wo leben Rentiere?	in den Regenwaldern	auf den Savannen	rund um den Polarkreis	rund um den sudlichen Polarkreis	C	BIOLOGIE
6	Bei einem Besuch in Siebenburgen bieten sie Pityoka an. Was werde ich konsumieren, wenn ich es akzeptiere?	Pfirsichschnaps	Pommes	Honigkuchen	grosses spritzen	B	KuCHE
1	Wie heisst Slang?	Dieb	Massage	Gangster	schutzende Wache	A	SPRACHE
2	Wer sollte traditionell laut Etikette als Erster ein Restaurant betreten?	zur altesten Frau	an die jungste Frau	zu dem Mann	fur das Kleinkind	C	ALLGEMEINES
3	Welches der folgenden Tiere kann bei Bedarf schnell die Farbe wechseln?	der Polarfuchs	das Chamaleon	der Laubfrosch	der Waran	B	BIOLOGIE
4	Wo spielt Bohumil Hrabals Capriccio?	auf der Insel Capri	im Zug	in einer Brauerei	Banska Bystrica	C	LITERATUR
5	Old Shatterhand ist eine Figur in welchem bekannten Wild-West-Roman?	Der letzte der Mohikaner	Winnetou	Lederstrumpfe	Spielkiller	B	LITERATUR
6	Welcher amerikanische Prasident musste wegen des Watergate-Skandals zurucktreten?	Gerhard Ford	Jimmy Carter	Lyndon Johnson	Richard Nixon	D	GESCHICHTE
7	In was hat Kirk die Gefahrten von Odysseus verwandelt?	in Stein	in ein Salzidol	fur Kinder	in ein Schwein	D	LITERATUR
8	Welches der folgenden Instrumente ist kein Schlaginstrument?	Dreieck	Xylophon	Marimba	Spinett	D	OPER
9	Welche Erfindung wird dem franzosischen Monch Perignon zugeschrieben?	Burgunder Wein	der Senf	der Champagner	der Trappistenkase	C	KuCHE
10	Montezuma war ein grosser Herrscher welcher Nation?	Maya	Azteken	Inka	Eskimo	B	GESCHICHTE
11	In welcher Wagner-Oper gibt es Schuster, Goldschmiede, Klempner und Backer?	der Lohengrin	Der Planet in Holland	bei Tannhauser	Bei den Nurnberger Meistersangern	D	OPER
1	Was ist laut Sprichwort Gold wert?	der goldene Regen	der Regen im Mai	der Schneeregen	der Geldregen	B	SPRACHE
2	Welcher der folgenden Namen ist kein Pflanzenname?	Lowenmaul	Krug	Artischocke	Entlein	D	BIOLOGIE
3	Welches der Folgenden wird Lajbi genannt?	Messer	Herrenmantel	Milchkanne	wasserfuhrender Mann	B	SPRACHE
4	Was fur ein Arzt war Dr. Ross von Emergency?	der Chirurg	Anasthesist	Zahnarzt	Kinderarzt	D	ALLGEMEINES
5	Woraus besteht der Mantel?	aus Griess	aus Roggenmehl	von Maismehl	aus feinem Mehl	C	KuCHE
6	Wie hiess die Frau des letzten ungarischen Konigs?	Elisabeth	Zita	Katharina	Giselle	B	GESCHICHTE
7	Wer hat zuerst Schokolade getrunken?	die Sumerer	Die Azteken	die Siamesen	die athiopier	B	KuCHE
1	Wie verschwindet etwas spurlos?	in Graben und Buschen	mit einer Wunde	an den Haaren	an Ohr und Schwanz	C	SPRACHE
2	Welches der folgenden Kartenspiele kann alleine gespielt werden?	Canasta	Marys	Solitar	Romme	C	SPIEL
3	Von wem oder was hat der Bigamist mehr als gesetzlich erlaubt?	von einem Ehepartner	von einem Reisebegleiter	aus einer Wohnung	von einem Auto	A	ALLGEMEINES
4	Wie heisst der Filmklassiker von Geza Radvanyi?	im Herzen Europas	irgendwo in Europa	Europa-Express	Der Schaffner	B	FILM
5	Die fur das Mittelalter charakteristische Gesellschaftsordnung wird als Feudalismus bezeichnet. Was war mein Lehen?	Art der Steuer	Eisenabbauprozess	Lehen	koniglicher Korper	C	GESCHICHTE
6	Welche Obstsorte tragt den Namen Idared?	Wassermelone	Apfel	Birne	Pflaume	B	BIOLOGIE
7	Was ist ein anderer gebrauchlicher Name fur das Cello?	Viola	Cello	Violine	Kontrabass	B	OPER
8	Wo wurde US-Prasident Lincoln ermordet?	im offenen Auto	in einem Theater	auf der Strasse	bei einer Kundgebung	B	GESCHICHTE
9	Wer lebte im Potala-Palast?	die japanischen Kaiser	die Hohepriester agyptens	die Dalai Lamas	die Inka-Herrscher	C	GESCHICHTE
10	Wer ist die erfolgreichste Olympiateilnehmerin im Frauenturnen?	Nadia Comaneci	Olga Kobut	Agnes Keleti	Larissa Latinyina	D	SPORT
1	Nach dem Sprichwort, was ist ein Mensch, dessen Augen klopfen?	hungrig	kurzsichtig	aufmerksam	Paraphanomen	A	SPRACHE
2	Welcher der folgenden kann sowohl der Name einer Dame als auch der Name eines Brettspiels sein?	Donna	Konigin	Diva	teuflisch	B	SPIEL
3	Was ist die Verbindung zwischen Kolumbus und Santa Maria?	der Name seiner Frau	der Name seiner Mutter	der Name Ihres Schiffes	eine von ihm gegrundete Stadt	C	GESCHICHTE
4	Wer hat ein Ballett uber einen Nussknacker geschrieben?	Schubert	Tschaikowsky	Rimski-Korsakow	Delibes	B	KUNST
5	Wer trifft sich im Kapitol in Washington?	UN-Vertreter	Mitarbeiter des Geheimdienstes	Professoren fur Archaologie	Mitglieder des Kongresses	D	ALLGEMEINES
6	Was uberflog Charles Lindbergh zuerst, allein und nonstop?	Pazifik See	Himalaya	Atlantischer Ozean	La Manche-Kanal	C	ALLGEMEINES
1	Welcher der folgenden ist der Name eines Kuchens?	Bakterien Donuts	Schuster geschichtet	skrofulos	bakamaze	C	KuCHE
2	Wie hiess das Schild uber dem Eingang zu den Geschaften?	Zunftblatt	Funktion	Unternehmenswert	hangend	C	ALLGEMEINES
3	Der Prater ist ein beliebtes Vergnugungsviertel welcher Stadt?	Paris	Munchen	Pressburg	Wien	D	LaNDER
4	Welche Art von Arbeit hat der Proctor gemacht?	medizinisch	Handler	Anwalt	Trager	C	SPRACHE
5	Was sind die Interessen einer Person, die sich mit Impalas beschaftigt?	Handarbeit	DIY	klassische Architektur	eine Art Tier	D	SPRACHE
6	Wenn eine Krankheit mit Nachtschatten geheilt wurde, was war dann das "Wundermittel"?	Loffel Medizin	Blutegel	Kamillentee	Schlammbad	B	BIOLOGIE
7	Wer hat 1982 den Falklandinselnkrieg gewonnen?	Frankreich	Argentinien	Spanien	Grossbritannien	D	GESCHICHTE
8	Wer ist Titania in Shakespeares Ein Sommernachtstraum?	Amazonen-Konigin	Attische junge Dame	Feen Konigin	frohliche frau von windsor	C	LITERATUR
9	Welcher unserer beruhmten Sportler hat ein Buch mit dem Titel "Nur die Gewinner durfen weinen" geschrieben?	Krisztina Egerszeg	Elek Ilona	Eva Szekely	Kolonial Andrea	C	SPORT
10	Welche Art von Giraffe ist in Salvador Dalis beruhmtem Gemalde zu sehen?	gestreift	flammend	achtbeinig	zweikopfig	B	BILDENDE KUNST
11	Wo ruht Sandor Csoma Korosi?	in Lhasa	Nagykoros	in Darjeeling	In Neu-Delhi	C	ALLGEMEINES
12	Wer komponierte die Musik fur den Oscar-pramierten Film "Der Pate" von 1974?	Ennio Morricone	Sergio Leone	Nino Rota	John Barri	C	FILM
13	In welcher Oper wird "Ragalomaria" aufgefuhrt?	Rossini: Der Barbier von Sevilla	Verdi: Rigoletto	Verdi: Otello	Mozart: Don Giovanni	A	OPER
1	Wovon traumt ein hungriges Schwein, sagt das Sprichwort?	mit Kleie	mit Eicheln	mit Power	mit Pfutze	B	SPRACHE
2	Was fur ein "Lehrer" ist die Titelfigur von Robert Koltais Film?	Beeindruckend	aber	Gerangel	Samba	B	FILM
3	Beim Bau welcher Burg wurde Kelemenne Komíves ummauert?	Es ist widerlich	Maus	Deva	Visegrad	C	LITERATUR
4	Wie hiess das XIX. die Wunderstute, die in den 1970er Jahren Erfolg um Erfolg sammelte?	Schlucken	Sturm	Mein Schatz	Es ist lustig	C	SPORT
5	Was macht ein Angler, wenn er angelt?	wirft den Haken ein	hebt den Fisch hervor	futtert die Fische	den Fisch braten	B	ALLGEMEINES
6	Der Russe wurde fruher Moschus genannt. Was ist der Ursprung des Wortes Moschus?	Moskau Stadt	ein Bulka-ahnliches Gericht	der Sibirische Hase	ein wenig Schuhe	A	SPRACHE
1	Nach welchem Korperteil ist die kleinste rhythmische Einheit der rhythmischen Poesie benannt?	Hand	Fuss	Gut	Abdomen	B	LITERATUR
2	Wie heisst die "Henne" des Comic-Helden Kukori?	Flockig	Kahler Hals	Kotloska	Kotkoda	D	FILM
3	Was ist der Fluss von London?	Rhein	Seine	Rhone	Themse	D	ERDKUNDE
4	Welche der folgenden Dinge wurde von Charles Goodyear entdeckt?	die Vulkanisation des Gummis	das hitzebestandige Glas	das Paraffin	Nitroglycerin	A	TECHNIK
5	Wer hat die Katze domestiziert?	die Inkas	mittelalterliche Monche	die abenteuerlustigen Ungarn	die agypter	D	GESCHICHTE
6	Was hat der Lehrer den Schulern gegeben, als er den Lehrplan gab?	Klasse	Warnung	Lektion	Mauspfad	C	SPRACHE
7	Wer war von 1994 bis 1998 Prasident des ungarischen Parlaments?	Zoltan Gal	Gyorgy Szabad	Arpad Goncz	Imre Pozsgay	A	GESCHICHTE
8	Welche ungarische Stadt wurde "Athen bei Bodrog" genannt?	Tokaj	Satoraljaujhely	Schlammiger Bach	Tolcsva	C	UNGARN
9	uber welches Getrank hat JS Bach eine Kantate geschrieben?	Kaffee	Tee	Haut	Bier	A	OPER
1	Was ist nach dem Sprichwort "sauer" fur jemanden, der etwas nicht erreichen kann?	die Pflaume	die Gurke	der Kohl	die Traube	D	SPRACHE
2	Wie nennt man einen Indianer?	wilder Bison	Friedenspfeife	Kuchen	Zelttyp	C	SPRACHE
3	Wie viele Sekunden hat eine Stunde?	360	3600	60	1000	B	ALLGEMEINES
4	In welchem Land wurde das beruhmte Taj Mahal gebaut?	China	Indien	agypten	Pakistan	B	LaNDER
5	Wie hiess fruher ein Krankenhaus?	die Schule	der Stall	das Krankenhaus	das Dorfhaus	C	SPRACHE
6	Wie heisst der Nachwuchs des Elefanten?	Truthahn	Kalb	fuhren	Fohlen	B	BIOLOGIE
7	Was hat der heilige Petrus auf Bildern, die ihn darstellen, normalerweise in der Hand?	Zauberstab	Rosenkranz	Regenschirm	Schlussel	D	RELIGION
1	Wo ist der Geiger laut Titel des beruhmten Musicals?	in Halbschuhen	auf der Bergspitze	auf dem Dach	in der Marinade	C	MUSIK
2	Welche Nachbarn werden als Schwiegereltern bezeichnet?	die Slowaken	die Rumanen	die Serben	die osterreicher	D	LaNDER
3	Welches Fach gehort nicht zu den Realfachern?	Biologie	Mathematik	Physik	Geschichte	D	ALLGEMEINES
4	Was ist mein Mittag- und Abendessen nach dem Volksgedicht, das ich in einem wunderschonen Land begonnen habe?	brot	Buh	Gras	Wind	B	LITERATUR
5	Welcher Staat hat eine Landkarte des Landes auf seiner Flagge?	Libanon	Mongolei	Japan	Zypern	D	LaNDER
6	Was wurde Kamasli genannt?	die Teekanne	die Fliege	der Blumenstrauss	der Knochelschutz	D	SPRACHE
1	Wie heisst der lustige Spruch? "Ich kaufe dir eine Turmuhr..."	mit Turmwachter	mit Pendel	mit einer Kette	mit Sekundenzeiger	C	SPRACHE
2	Wer ist der Komponist der Rockoper "Jesus Christ Superstar"?	Leonhard Bernstein	Gabor Presser	Galt McDermott	Andrew Lloyd Webber	D	MUSIK
1	Woran schneidet er laut Sprichwort, wenn er mit einer schwierigen Aufgabe beginnt?	in einen Grashalm	in dichte Busche	in einen grossen Baum	in einen verrotteten Baumstamm	C	SPRACHE
2	Was hort der taube Mann am Ufer des ausgetrockneten Sees im Kinderlied?	Grillen zirpen	spritzendes Wasser	Rauchen	Walkman	C	LITERATUR
3	Wie lautet der Titel von Bud Spencer und Terence Hills Erfolgskomodie "Otherwise…"	Wir essen Bohnen	wir werden wutend	wir teilen eine Ohrfeige	wir fallen auf unseren Bauch	B	FILM
4	Welche Steuern enthalt die Rechnung mit ausgewiesener Mehrwertsteuer?	Staatsverkehr	allgemeiner Verkehr	Durchschnitt fest	allgemeine Quelle	B	ALLGEMEINES
5	Wofur wurde das Sektionaltor ursprunglich verwendet?	den Teig zu sauern	zum Beschlagen von Pferden	zum Altern von Wein	zum Futtern von Huhnern	A	SPRACHE
6	Wer schenkte den Vereinigten Staaten die Freiheitsstatue in New York?	das englische Herrscherhaus	die Franzosen	die einheimischen Indianer	dem deutschen Volke	B	GESCHICHTE
7	Woraus besteht Cognac?	aus Zuckerrohr	aus Trester	aus Getreide	aus Weindestillat	D	KuCHE
8	Wer fuhrte die unterlegenen Armeen in der Schlacht bei Pakozd im Herbst 1848 an?	Bam	George	Metternich	Bedeutung	D	GESCHICHTE
9	Welche unserer Schauspielerinnen begann ihre Karriere als Kinderdarstellerin?	Katalin Karady	Gobi Hilde	Eva Ruttkai	Klari Tolnay	C	THEATER
1	Was fur Leute nennt man Leichttaucher?	Wal	Frosch	Hai	Raja	B	ALLGEMEINES
2	Was fur einen Baum hatten die ungarischen niederen Adligen laut dem Namen?	Feige	Apfel	Ulme	Pflaume	D	ALLGEMEINES
3	Was macht ein Schiff, wenn Matrosen vor Anker gehen?	wird den poty Passagier los	beginnt	Anker	schaltet auf eine hohere Drehzahl	C	ALLGEMEINES
4	Welches Tier heisst Truffel?	mit einer Katze	mit Schwein	mit einem Wiesel	mit Reh	B	BIOLOGIE
5	Wer war der Vater von Prinz Szent Imre, der ein tragisches Schicksal hatte?	Heiliger Laszlo	Prinz Geza	St. Stephan	Prinz Arpad	C	GESCHICHTE
6	Wie heisst Fellinis weltberuhmter Film uber reisende Stuntmen?	Das susse Leben	Auf einer Landstrasse	Nachte von Cabiria	Amarcord	B	FILM
7	Wie klingt das Wirtshaus aus dem Drama Julius Casar: "… see you!"	am Rubikon	Bei Philippi	in Gallien	bei den Pyramiden	B	LITERATUR
8	Welcher europaische Entdecker erreichte Indien zuerst auf dem Seeweg?	Vasco da Gama	Christoph Kolumbus	James Cook	Bartolomeo Diaz	A	GESCHICHTE
9	Welcher Brandy ist Cujka rumanischen Ursprungs?	Pflaume	Pfirsich	Wacholder	Erdbeere	A	KuCHE
10	Vasarely war der bekannteste Vertreter welcher Kunstrichtung?	Pop-Art	Op-Art	Dadaismus	Funktionalismus	B	BILDENDE KUNST
11	Wofur war Nemesis die Gottin der griechischen Mythologie?	Poesie	Familienfrieden	Wiedergeburt	Vergeltung	D	RELIGION
12	Mit welchem Stuck wurde das Ungarische Theater Pest, der Vorganger des Nationaltheaters, eroffnet?	Csongor und Tunde	Die Tragodie des Menschen	arpads Erwachen	Entschuldigung	C	THEATER
1	Was habe ich nach Volksausgaben mit einem halben Cent auf der Messe gekauft?	Zuckerwatte	Lebkuchen	Henne	ein halbes Schwein	C	LITERATUR
2	Welche der folgenden ist ein anderer Name fur Taktik?	Tigerwimper	Puma-Knodel	Hyanenfuss	Lowenmaul	D	BIOLOGIE
3	An welchem Geschaft war die Familie Ewing aus Dallas interessiert?	Rennpferdezucht	ol Industrie	Filmvertrieb	Whisky Konsum	B	FILM
4	Welche der folgenden ist eine Art Schraubenmutter?	Pariser	Frankfurt	Niederlandisch	Koln	C	SPRACHE
5	In welcher unserer Siedlungen konnen Sie den Turm Salomons sehen?	in Estergom	in Nagyvazsony	in Visegrad	in Erger	C	UNGARN
6	Welches der folgenden Instrumente ist ein unbesaitetes Instrument?	Gambe	Zither	Harfe	Tuba	D	OPER
7	Nach wessen Texten drehte Zoltan Huszarik seinen Film Szindbad?	Zsigmond Moricz	Dezso Kosztolanyi	Gyula Krudy	Schoner Erno	C	FILM
8	Was oder wer wurde fruher ein Narr genannt?	Turkischer Kirchensanger	ansteckende Krankheit	Art von Rose	Nachtigall	D	SPRACHE
9	Aus wessen Gedicht entstand Beethovens Modus der Freude?	Dante	Schiller	Horaz	Sheila	B	OPER
10	Welches war nicht der Name eines ungarischen Komitats?	Eine Blase	Ung	Arad	Csakvar	D	GESCHICHTE
11	Nach wie vielen personlichen Fouls erzielt ein Basketballspieler ein Tor?	vier	funf	drei	es gibt keinen Fokus	B	SPORT
12	Wessen Frau war Flora Kozmutza?	Attila Jozsef	Lorinc Szabo	Gyula Illyes	Mailand rauchen	C	LITERATUR
13	Auf wessen Text basiert Bela Bartoks Der prachtige Mandarin?	Polnischer Brautigam	Bela Balazs	Ferenc Herczeg	Lajos Kassak	A	OPER
14	Zu welchem Arzt gehen wir mit unserer Beschwerde, wenn unser Faux weh tut?	zu einem Dermatologen	zu einem Urologen	zu einem Zahnarzt	zum Laryngologen	D	BIOLOGIE
1	Was fur ein Tier ist die Pferdelaus?	Wiederkauer	siebenfleckig	Insekt mit geraden Flugeln	langsam paripa	C	BIOLOGIE
2	Wie heisst der sechzigste Hochzeitstag?	vierzigster Hochzeitstag	diamantene hochzeit	eiserne hochzeit	Platin hochzeit	B	ALLGEMEINES
3	In der Marchenoper von Gyorgy Ranki geht es um die neuen Kleider welchen Konigs?	Arthur	Pomade	Burkus	Mathias	B	OPER
4	Wie lautet der Titel des uberaus erfolgreichen Films von Istvan Bujtor: "Einfach nichts..."	Katastrophe	Picknick	Panik	dumm	C	FILM
5	Wo wird das Fleisch zubereitet, wenn es in der Tube gebacken wird?	im Ofen	Offenes Feuer	Faser	in einem Herd	A	KuCHE
6	Arthur Miller hat ein Theaterstuck uber die Hexen welcher Stadt geschrieben?	Burkitsville	Eastwick	Verkauf	Hogwarts	C	LITERATUR
1	Welches blinde Tier soll ein Auge finden?	das Pferd	die Henne	der Maulwurf	die blinde maus	B	SPRACHE
2	Wo ist die Neun-Loch-Brucke?	in Szeged	Bucapusztan	In Tokaj	auf Hortobagy	D	UNGARN
3	Wer war der Hauptmann der Verteidiger der Burg Eger?	Gyorgy Szondi	Miklos Jurisics	Miklos Zrínyi	Istvan Dobo	D	GESCHICHTE
4	Wofur wird der Drucker verwendet?	fur die Stromentwicklung	zum Drucken	zum Brotbacken	Bildschirmreinigung	B	ALLGEMEINES
5	In welchem Gedicht ist das Zitat? "Die Blume fallt, das Leben vergeht..."	Der Busch wackelt, weil...	Wie soll ich Sie nennen...	Liebe Freiheit!	Ende September	D	LITERATUR
6	Gronland ist ein fremdes Territorium welchen Landes?	Kanada	Danemark	Norwegen	Schweden	B	LaNDER
7	In welcher Beethoven-Symphonie erklingt der "Joy Mode"?	der III. in einer Symphonie	der IX. in einer Symphonie	die VI. in einer Symphonie	in der V. Symphonie	B	OPER
8	Wie hiess das Kind, das Abraham und Sara im Alter geboren wurden?	Isaak	Ismael	Rebekka	Ein Pferd	A	RELIGION
9	Welcher amerikanische Prasident gab die ungarische Krone zuruck?	Gerhard Ford	Jimmy Carter	George Bush	Ronald Reagan	B	GESCHICHTE
10	Wo lebten die Prioren im Mittelalter?	in einem Kloster	in einem Schloss	in einer Einsiedelei	am Konigshof	A	GESCHICHTE
11	Was spielt die Person?	babysitten	auf Eis gleiten	schwingt	Er spielt mit einer Zange	B	SPRACHE
12	Woher hat die englische Konigsfamilie Plantagenet ihren Namen?	nach einer Art Busch	nach einer Windhundrasse	nach dem Namen einer Kurtisane	nach einer Art Rasen	A	SPRACHE
1	Wie hiess laut Aberglauben ein Student, der zu Wundertaten fahig war?	Grabancho	grell	garabonisch	grosser Rachen	C	SPRACHE
2	Wie heisst der Riesenaffe, der im Filmklassiker New York zerstort?	Hongkong	Godzilla	Ich Kong	Konig Kong	D	FILM
3	Welche Blume ist der Titel eines Jokai-Romans?	brennender Mohn	gelbe Rose	blaues Vergissmeinnicht	lila Orgel	B	LITERATUR
4	Die Stadt welcher Nation war Karthago in der Antike?	Punisch	agyptisch	Assyrisch	sumerisch	A	GESCHICHTE
5	Welchen Geschmack hat die Sachertorte?	Marzipan	Mandel	Schokolade	Vanille	C	KuCHE
6	Wen oder was nennen wir traditionell Philosophen?	die Libellen	die Hubschrauber	die antiken Philosophen	die Studenten der Geisteswissenschaften	D	SPRACHE
7	In welchen Bergen liegt Andorra?	in den Alpen	in den Pyrenaen	in den Anden	in den Karpaten	B	ERDKUNDE
8	Wer komponierte Mussorgskys Klavierstuck "Bilder einer Ausstellung"?	Rachmaninoff	Ravel	Rimski-Korsakow	Tschaikowsky	B	OPER
1	Welcher Tiername wird fur die Husarenfigur im Schach verwendet?	Kuh	Henne	Schiessen	Hund	C	SPIEL
2	Wer wurde nach dem Glauben vom einfachen Volk zum Konig auf dem Eis der Donau gewahlt?	Mathias Habsburg	Matyas Hunyadi	Ferdinand Habsburg	Janos Hunyadi	B	GESCHICHTE
3	In welchem Marchen spielen Bunnys Freunde und Geschaftspartner?	Der Froschkonigsjunge	Der Fuchs und das Kaninchen	Winnie Puuh	Die drei Hasen	C	LITERATUR
4	Ferenc Balazs ist der Leadsanger welcher Band?	Generieren	Apostel	Koralle	Edda	C	MUSIK
5	Woher stammt das Zitat? "Wenn es sozusagen eine Klage ist, lass es eine Klage sein!"	Zwolf wutende Menschen	Der Gehorgang	Einfuhrung in das Strafrecht	Richter Sari	B	LITERATUR
6	Welches der folgenden Lebensmittel ist keine Zutat in Mayonnaise?	Speiseol	Eigelb	Eiweiss	Zitronensaft	C	KuCHE
7	Wie viele Bytes sind in einem Kilobyte?	1000	1024	1012	1036	B	WISSENSCHAFT
8	Nach welchem Vogel ist Han Solos Raumschiff in Star Wars benannt?	Kolibri	Adler	Falke	Albatros	C	FILM
9	Welches ist die bevolkerungsreichste Stadt im Komitat Pest?	Vac	Szentendre	Es ist es wert	Ziegelsaft	C	UNGARN
1	Nach dem Sprichwort, was verkauft der offene Mann nicht?	Petersilie	Sack Katze	Staub Katze	Matte	B	SPRACHE
2	Wessen Uniform ist Liberia?	Lakaien	Kellner	Reiter	Piloten	A	ALLGEMEINES
3	Wo hat IV gelitten? Bela von der tatarischen Armee besiegt?	bei Mohacs	Bei Muhi	Auf der Insel Trau	Bei Isaszeg	B	GESCHICHTE
4	Nach wem ist das Sandwich benannt?	uber einen irischen Seemann	uber einen franzosischen Sanger	uber einen schottischen Koch	uber einen englischen Grafen	D	KuCHE
5	uber welchen Geist hat Oscar Wilde geschrieben?	Canterbury	von Canterville	von Edgehill	Erdbeeren	B	LITERATUR
6	Welches Wasser lost nicht nur Gold?	konigliches Wasser	Kristallwasser	goldenes Wasser	Trennwasser	D	WISSENSCHAFT
1	Welchen Fehler macht Mehemed im Kindergedicht?	greift nach dem Euter der Kuh	packt den Schwanz der Kuh	gerat in schlechte Gesellschaft	macht ein schlechtes Pferd	B	LITERATUR
2	uber welchen Bananengeschmack hat die Band Metro gesungen?	Minze	Kaffee	Schokolade	Zitrone	D	MUSIK
3	Was bedeutet "doppelter Lutz"?	osterreichische Zwillinge	Deutscher Zirbenschnaps	Sprungart im Eiskunstlauf	mathematischer Koeffizient	C	SPRACHE
4	Welche unserer Siedlungen wird die Stadt der Loyalitat genannt?	Koszeg	Sopron	Szekesfehervar	Esztergom	B	UNGARN
5	Von wessen Werk wurde Gott gebracht, Herr Major! der Film?	Mailand rauchen	Tibor Derry	Istvan orkeny	Ivan Mandy	C	FILM
6	Welches Land heisst Helvetia auf Latein?	Tschechische Republik	Frankreich	Rumanien	Schweiz	D	GESCHICHTE
1	Wer, so das Sprichwort, wird schneller alt?	der viel isst	wer will es	der fruh geboren wurde	wer ist kein Klatsch	B	SPRACHE
2	Welche Damenfrisur in die Stirn gekammt, kurz geschnittene Jungenfrisur?	Konigin	Puma	Puli	Jack	D	ALLGEMEINES
