Difficulty	Question	THE	B	C	D	Answer	Category
3	In which business was the Ewing family from Dallas interested?	racing horse breeding	oil industry	film distribution	whiskey consumption	B	MOVIE
4	Which of the following is a type of bolt nut?	Parisian	Frankfurt	Dutch	Cologne	C	LANGUAGE
5	In which of our settlements can you see the Tower of Solomon?	in Esztergom	in Nagyvazsony	in Visegrad	in Eger	C	HUNGARY
6	Which of the following is a non-stringed instrument?	viola da gamba	zither	harp	tuba	D	OPERA
7	Based on whose writings did Zoltan Huszarik make his film Szindbad?	Zsigmond Moricz	Dezs Kosztolanyi	Gyula Krudy	Beautiful Ern	C	MOVIE
8	What or who was called a fool in the old days?	Turkish church singer	infectious disease	kind of rose	nightingale	D	LANGUAGE
9	From whose poem was Beethoven's Mode of Joy born?	Dante	Schiller	Horace	Sheila	B	OPERA
10	Which was not the name of a Hungarian county?	A blister	Ung	Arad	Csakvar	D	HISTORY
11	After how many personal fouls does a basketball player score?	four	five	three	there is no focus	B	SPORTS
12	Whose wife was Flora Kozmutza?	Attila Jozsef	Lrinc Szabo	Gyula Illyes	Smoke Milan	C	LITERATURE
13	Based on whose text was Bela Bartok's The Magnificent Mandarin?	Polish Groom	Bela Balazs	Ferenc Herczeg	Lajos Kassak	A	OPERA
14	Which doctor do we go to with our complaint if our faux hurts?	to a dermatologist	to a urologist	to a dentist	to a laryngologist	D	BIOLOGY
1	What kind of animal is the horse louse?	ruminant	seven-spotted	insect with straight wings	slow paripa	C	BIOLOGY
2	What is the sixtieth wedding anniversary called?	ruby wedding	diamond wedding	iron wedding	platinum wedding	B	GENERAL
3	Gyorgy Ranki's fairytale opera is about which king's new clothes?	Arthur	Pomade	Burkus	Matthias	B	OPERA
4	What is the title of Istvan Bujtor's highly successful film: "Just nothing..."	disaster	picnic	panic	silly	C	MOVIE
5	Where is the meat prepared if it is baked in a tube?	in the oven	open fire	fiber	in a cooker	A	KITCHEN
6	Arthur Miller wrote a play about the witches of which town?	Burkitsville	Eastwick	Salem	Hogwarts	C	LITERATURE
1	Which blind animal is said to find an eye?	the horse	the hen	the mole	the blind mouse	B	LANGUAGE
2	Where is the nine-hole bridge?	in Szeged	Bucapusztan	In Tokaj	on Hortobagy	D	HUNGARY
3	Who was the captain of the defenders of the Eger castle?	Gyorgy Szondi	Miklos Jurisics	Miklos Zrínyi	Istvan Dobo	D	HISTORY
4	What is the printer used for?	for electricity development	for printing	for baking bread	monitor cleaning	B	GENERAL
5	In which poem is the quote? "The flower falls, life fades..."	The bush is shaking because...	What shall I call you...	Freedom love!	At the end of September	D	LITERATURE
6	Greenland is a foreign territory of which country?	Canada	Denmark	Norway	Sweden	B	COUNTRIES
7	In which Beethoven symphony does the "Joy Mode" sound?	the III. in a symphony	the IX. in a symphony	the VI. in a symphony	in the V. symphony	B	OPERA
8	What was the name of the child born to Abraham and Sarah when they were old?	Isaac	Ishmael	Rebecca	A horse	A	RELIGION
9	Which American president returned the Hungarian crown?	Gerald Ford	Jimmy Carter	George Bush	Ronald Reagan	B	HISTORY
10	Where did the priors live in the Middle Ages?	in a monastery	in a castle	in a hermitage	in the royal court	A	HISTORY
11	What is the person playing?	babysitting	sliding on ice	swings	he's playing with tongs	B	LANGUAGE
12	Where did the Plantagenet English royal family get its name?	after a kind of bush	after a breed of greyhound	after the name of a courtesan	after a type of lawn	A	LANGUAGE
1	According to superstition, what was the name of a student capable of miraculous deeds?	grabancho	garish	garaboncian	large pharynx	C	LANGUAGE
2	What is the name of the giant ape that destroys New York in the classic movie?	Hong Kong	Godzilla	Me Kong	King Kong	D	MOVIE
3	Which flower is the title of a Jokai novel?	burning poppy	yellow Rose	blue forget-me-not	purple organ	B	LITERATURE
4	Which nation's city was Carthage in ancient times?	Punic	Egyptian	Assyrian	sumerian	A	HISTORY
5	What flavor is the Sacher cake?	marzipan	almond	chocolate	vanilla	C	KITCHEN
6	Who or what do we traditionally call philosopters?	the dragonflies	the helicopters	the ancient philosophers	the humanities students	D	LANGUAGE
7	In which mountains is Andorra?	in the Alps	in the Pyrenees	in the Andes	in the Carpathians	B	GEOGRAPHY
8	Who composed Mussorgsky's piano piece "Pictures of an Exhibition"?	Rachmaninoff	Ravel	Rimsky-Korsakov	Tchaikovsky	B	OPERA
1	What animal name is used for the hussar piece in chess?	cow	hen	Shoot	dog	C	GAME
2	According to the belief, who was chosen by the common people as king on the ice of the Danube?	Matthias Habsburg	Matyas Hunyadi	Ferdinand Habsburg	Janos Hunyadi	B	HISTORY
3	In which fairy tale are Bunny's friends and business partners?	The frog king boy	The fox and the rabbit	Winnie the Pooh	The three rabbits	C	LITERATURE
4	Ferenc Balazs is the lead singer of which band?	Generate	Apostle	Coral	Edda	C	MUSIC
5	Where is the quote from? "If it's a lawsuit, so to speak, let it be a lawsuit!"	Twelve angry people	The ear canal	Introduction to criminal law	Judge Sari	B	LITERATURE
6	Which of the following foods is not an ingredient in mayonnaise?	cooking oil	egg yolk	egg white	lemon juice	C	KITCHEN
7	How many bytes are in a kilobyte?	1000	1024	1012	1036	B	SCIENCE
8	What bird is Han Solo's spaceship named after in Star Wars?	hummingbird	eagle	Falcon	albatross	C	MOVIE
9	Which is the most populous city in Pest County?	Vac	Szentendre	Worth it	Brick juice	C	HUNGARY
1	According to the saying, what does the open man not sell?	parsley	sack cat	dust cat	mat	B	LANGUAGE
2	Whose uniform is Liberia?	footmen	waiters	riders	pilots	A	GENERAL
3	Where did IV suffer? Bela defeated by the Tatar army?	at Mohacs	At Muhi	At the island of Trau	At Isaszeg	B	HISTORY
4	Who is the sandwich named after?	about an Irish sailor	about a French singer	about a Scottish cook	about an English earl	D	KITCHEN
5	What ghost did Oscar Wilde write about?	Canterbury	of Canterville	from Edgehill	strawberries	B	LITERATURE
6	Which water does not dissolve only gold?	royal water	crystal water	golden water	separation water	D	SCIENCE
1	What mistake does Mehemed make in the children's poem?	grasps the cow's udder	grabs the cow's tail	gets into bad company	makes for a bad horse	B	LITERATURE
2	What flavor of banana did the band Metro sing about?	Mint	coffee	chocolate	citron	D	MUSIC
3	What does "double Lutz" mean?	Austrian twins	German pine brandy	type of jump in figure skating	mathematical coefficient	C	LANGUAGE
4	Which of our settlements is called the City of Loyalty?	Kszeg	Sopron	Szekesfehervar	Esztergom	B	HUNGARY
5	From whose work was God brought, Mr. Major! the movie?	Smoke Milan	Tibor Dery	Istvan orkeny	Ivan Mandy	C	MOVIE
6	Which country is called Helvetia in Latin?	Czech Republic	France	Romania	Switzerland	D	HISTORY
1	Who, according to the saying, gets old faster?	who eats a lot	whoever wants it	who was born early	who is not a gossip	B	LANGUAGE
2	What women's hairstyle combed into the forehead, short cut boy's hair style?	queen	cougar	Puli	jack	D	GENERAL
3	From which part of the cocoa tree is cocoa powder made?	from the bark	from its root	from his crop	from the bud	C	BIOLOGY
4	What do Jumurdsas lose in the stars of Egri?	his amulet	his jatagan	his faith	his caftan	A	LITERATURE
5	What weapon is in the title of the action film series starring Mel Gibson?	deadly	cool	silenced	telescopic	A	MOVIE
6	What is the name of the loyal servant of the Toldi family in Arany's work?	George	Ben	Tibor	Bulcsu	B	LITERATURE
7	What does KRESZ call the road traveled with braked wheels?	braking distance	tracking distance	braking distance	course of action	C	GENERAL
8	Which two spaceships joined together to create an experimental space station for the first time?	Vostok-3 and Soyuz 2	Apollo and Vosztok-3	Apollo and Pioneer-4	Soyuz-4 and Soyuz-5	D	GENERAL
9	Which country is not a member of NATO?	Poland	Iceland	Ireland	Portugal	C	GENERAL
10	At which European football championship did Hungary reach 3rd place?	the one from Italy in 1968	the one from Spain in 1964	the 1972 Belgian	of France in the 1960s	B	SPORTS
1	From which country does the dance called samba originate?	From Iceland	From India	From Brazil	from France	C	COUNTRIES
2	According to the saying, what kind of animals do people who go to bed early sleep with?	with the owls	with the bats	with the hens	with the pigs	C	LANGUAGE
3	What was Sandor Petfi's original name?	Sandor Petnehazi	Alexander Petrovich	Sandor Petfia	Sandor Peterffy	B	LITERATURE
4	Steaming is part of which kitchen operation?	baking	canning	washing dishes	seasoning	B	KITCHEN
5	Who was Fred Astaire's most frequent dance partner in films until 1939?	Vivien Leigh	Olivia de Havilland	Ginger Rogers	Judy Garland	C	MOVIE
6	Whose widow did Greek businessman Onassis marry?	Jean Gabin	Arthur Miller	JF Kennedy	Fred Astaire	C	GENERAL
7	What was the original name of the Apostle Paul?	Samuel	Solomon	Saul	Simeon	C	RELIGION
1	Which of the following is the name of a species of bird?	spring snow	summer house	winter snow	Santa	C	BIOLOGY
2	According to Petfi's well-known poem, what is brighter than a chain?	the hant	the will	the sword	the malt	C	LITERATURE
3	Where did the Greek gods live?	on Parnassus	on Helikon	on Olympus	in Dodona	C	RELIGION
4	Who wrote the ballad about Fat Margot?	Vladimir Vysotsky	Golden John	Francois Villon	John Milton	C	LITERATURE
5	Which of our villages has been declared part of the world heritage?	House of Ravens	Sirak	Ravenstone	Lustful	C	HUNGARY
6	Where does Vidrocki's famous flock ring and grunt according to the song?	in Matra	in Bakony	in Cserhat	in Mecsek	A	LITERATURE
7	How many gold medals did American swimmer Mark Spitz win at the Munich Olympics?	six	week	five	eight	B	SPORTS
8	Mrs. Sirimavo Bandaranaike was Prime Minister of which country?	Philippines	India	Pakistan	Sri Lanka	D	HISTORY
9	What was the original name of Hanna Honthy, the legendary operetta prima donna?	Hont Dawn	Anna Horvath	Hugel Dawn	Anna Hagler	C	OPERA
10	What did the vernacular call the Epiphany?	last glass of drinks	the christening	consecration of the crop	the first bite of meals	A	LANGUAGE
1	In the old days, bad students were put on which bench?	donkey	cat	monkey	sloth	A	GENERAL
2	What is the title of the French comedy "I'm shy, but..."	chased by women	I go to therapy	I want to conquer	I want to hang out	C	MOVIE
3	Where did our ancestors wear the Prussian coat?	on the top of the head	on the upper body	on the wrist	on the leg	B	LANGUAGE
4	To which city does the famous Golden Gate Bridge lead?	San Francisco	Los Angeles	Boston	new York	A	COUNTRIES
5	What was the common name of the Russian peasants?	boyars	music	troikas	dachshunds	B	LANGUAGE
6	Who is the quote from? "Home before everything else."	Sandor Petofi	Mihaly Vorosmarty	Ferenc Kolcsey	Ferenc Rakoczi	C	HISTORY
1	What kind of horse do we call a gebe?	the skinny	the thick haired one	the shoeless	the rocking horse	A	GENERAL
2	What did a varga sew?	jackets	tablecloths	curtains	footwear	D	GENERAL
3	What do you call the hot-blooded, heartwarming Mediterranean male type that appears in movies?	Spanish hidalgo	heartbreaking ram	hellenic hurricane	latin lover	D	GENERAL
4	What do the referees judge in water polo if the player kicks the ball into the net?	throwing away	scored a goal	two-minute exhibition	4 meters	B	SPORTS
5	What was the name of the simple calculator of the ancient Romans?	calculus	abacus	lira	Lenia	B	HISTORY
6	It can also be the name of a fish with a lace hem and spiny fins ...	bream	pocket square	spades	gecko	C	GENERAL
7	In which year was the new forint introduced in Hungary?	in 1948	in 1950	in 1946	in 1949	C	HISTORY
1	Who or what is without a thorn, according to the saying?	cactus	rose	mother-in-law	Hedgehog	B	LANGUAGE
2	What is a tambourine?	freshwater fish	Persian ethnic group	instrument	Asian wild horse	C	LANGUAGE
3	Which saint goes with the adjective "Dragon Slayer"?	Saint Laszlo	Saint George	Saint Andrew	Saint Augustine	B	RELIGION
4	What do you call the young boy roles that are usually played by actresses?	tie role	skirt role	cap role	pants role	D	THEATER
5	What spirit is added to grog?	vodka	Borovicka	rum	vermouth	C	KITCHEN
6	Who was called the egg-headed Belgian?	King Baldwin	Enzo Scifot	Maurice Maeterlinck	Hercule Poirot	D	GENERAL
7	In which city were the popes "captive" in the 14th century?	Canossa	Ravenna	Reims	Avignon	D	HISTORY
8	Whose son was the Persian king Xerxes?	To Darius	Daidalos	to Xenophon	to Xanthippe	A	HISTORY
9	Who wrote an opera based on the story of Jancsi and Juliska?	Pyotr Ilyich Tchaikovsky	Giacomo Meyerbeer	Engelbert Humperdinck	Gioacchino Rossini	C	OPERA
1	What is the Paternoster?	grandfather's nickname	garden fun of priests	circular passenger lift	confessional	C	GENERAL
2	With which female name can we express the flora of a given area?	To Leonora	Anastasia	Flora	Emergency	C	BIOLOGY
3	Which animal is said to have nine lives?	to the mouse	for the dog	to the cat	to the horse	C	GENERAL
4	"I said, man: fight and trust with confidence!" Who says this in The Tragedy of Man?	Adam	Eve	Lucifer	the Lord	D	LITERATURE
5	What material is parchment made of?	from papyrus mud	from animal skin	from cedar bark	from the intestines of animals	B	TECHNIQUE
6	Which of the following statements is incorrect?	Not my table	Pulls the strip	He cut his ax into heavy wood	They sell on a mat	C	LANGUAGE
7	Where can you see the tomb of King Andras I?	in the Esztergom basilica	in the ruins of Szekesfehervar	in the Tihany Abbey	in the Matthias Church	C	HISTORY
8	By what name did Gautama Siddhartha become known?	Vishnu	Shiva	Brahma	Buddha	D	RELIGION
9	Which battle is not associated with the name of Alexander the Great?	Gaugamela	Salami	Granicos	Issos	B	HISTORY
1	Where is the truth, according to the saying?	in beer	in the law book	in wine	at the proctor	C	LANGUAGE
2	Andras Kern's first film as a director was named after which ice cream?	Tiramisu	Tarantella	Stracciatella	Cappuccino	C	MOVIE
3	"As if a shepherd's fire burns on autumn nights..." Which work begins like this?	John is brave	Add it	Csongor and Tunde	Island peril	B	LITERATURE
4	During which war does the musical Hair take place?	Gulf War	II. world War	vietnam war	korean war	C	MUSIC
5	What kind of soft drink does the frolicking girl sing about in one of the hits of the 60s?	about lemonade	about raspberry syrup	about coke	about Bambi	D	MUSIC
6	Who founded today's New York City?	English prisoners	Irish farmers	Dutch settlers	Spanish conquerors	C	HISTORY
7	Which of our writers was the wife of Roza Laborfalvi, a celebrated actress of her time?	Kalman Mikszath	Mor Jokai	Pal Gyulai	There is Geza	B	LITERATURE
8	Who was the Chancellor of East Germany when the Berlin Wall was built in 1961?	Willy Brandt	Ludwig Erhard	Helmut Schmidt	Konrad Adenauer	D	HISTORY
9	What did the housewife cook if she made žyrok?	pasta	asparagus	artichoke	pigeon	B	KITCHEN
1	What do they say about a person who leaves without being noticed: "He disappears like the ..."	camphor	cantor	counter	condor	A	LANGUAGE
2	What color was the German Emperor Frederick Barbarossa's beard?	blond	black	right	pink	C	HISTORY
3	Which of the following is a frost saint?	Boldizzar	Theophilus	Boniface	Cleophas	C	RELIGION
4	What is edes Anna's occupation in Kosztolanyi's novel?	actress	maid	teacher	candy seller	B	LITERATURE
5	What material is Michelangelo's David made of?	basalt	granite	marble	bronze	C	FINE ARTS
6	From which of the following did Puskas Tivadar make the world's first?	phonograph	spark recorder	dial telephone	telephone exchange	D	TECHNIQUE
7	What kind of animal hair is mohair yarn made of?	angora goat	vicuña	chinchilla	dromedary	A	GENERAL
1	According to the saying, what good did the living man eat?	bacon	his bread	red onion	tenderloin	B	LANGUAGE
2	What is the fuel for diesel engines?	petrol	benzene	diesel fuel	methane	C	TECHNIQUE
3	What do we call the elongated, thickened back legs of fleas?	chirrup foot	notched foot	jumping leg	knocking of the knees	C	BIOLOGY
4	What is the title of Gerard Philipe's adventure film? "... my wife"	witch	Princess	gloomy	gypsy girl	B	MOVIE
5	What is the name of the hotel attributed to Rousseau?	Facing the kingdom!	Facing the people's rule!	Back to the nature!	Back from nature!	C	LITERATURE
6	What is the state of complete relaxation called in the Buddhist religion?	karuna	today	nirvana	mudita	C	RELIGION
7	The famous arena of which European football club is called the Bernabeu stadium?	Benfica	Olympique Marseille	FC Barcelona	Real Madrid	D	SPORTS
8	Who is the actor's museum in Budapest named after?	Mari Jaszai	Bavarian Gizi	Blah Lujza	Gobbi Hilda	B	THEATER
9	Who was Bill Clinton's Republican opponent in the 1996 election?	Al Gore	Ross Perot	Robert Dole	Michael Dukakis	C	HISTORY
1	According to the saying, what is the consequence of walking slowly?	we will arrive later	we don't warm up	the lame dog catches up	we will continue to mature	D	LANGUAGE
2	Which city is called the "city of lagoons"?	Venice	Rio de Janeiro	Naples	Hamburg	A	COUNTRIES
3	What is the name of Fredi's wife in the cartoon series The Flinstones?	Illa	Irma	Vilma	Helga	C	MOVIE
4	From which Hungarian city did the band Edda start in the late 70s?	Oz	Debrecen	Miskolc	Szolnok	C	MUSIC
5	What did Lorand Eotvos invent?	the transformer	the torsion pendulum	the steam saw	the atomizer	B	TECHNIQUE
6	Who was the love of the famous philosopher Abelard?	Isolde	Heloise	Laura	Beatrice	B	LITERATURE
7	Which basic element is missing from Chinese astrology?	Fire	Earth	Stone	Tree	C	GENERAL
1	What do they make of an undesirable person?	his soul	vintage	hair	legs	B	LANGUAGE
2	What did the teacher write in the student's checker if the student answered incorrectly?	second	secondary	section tour	secondary	A	GENERAL
3	What kind of bird is an albatross?	amphibian	surviving parent	maritime	stunted winged	C	BIOLOGY
4	Whose fairy tales are in the title of Offenbach's opera?	Andersen	La Fontaine	Hoffman	Grimm	C	OPERA
5	Who was the first pope?	Saint Nicholas	Saint Paul	Pius I	Saint Peter	D	RELIGION
6	Which plant is not related to the pumpkin?	cucumber	zucchini	cantaloupe	avocado	D	BIOLOGY
7	Who do we call hidalgos?	Japanese martial artists	ancient bridge builders	Spanish nobles	French revolutionaries	C	LANGUAGE
8	In which year was the Nepstadion handed over?	in 1952	in 1953	in 1950	in 1955	B	SPORTS
9	Who played Richard the Lionheart in the movie Robin Hood, Prince of Thieves?	Gregory Peck	Marlon Brando	Sean Connery	Jack Nicholson	C	MOVIE
10	According to Jozsef Attila's poem Kesei sirato, what happens to whom mother gave birth to?	all disappear eventually	they all fail eventually	all are disappointed in the end	they all find their homeland in the end	C	LITERATURE
11	Which family of plants does the lotus flower belong to?	magic nuts	Venus flytraps	marigolds	lily trees	C	BIOLOGY
12	Who is the painter whose frequent subject was the market square in Seville?	Caravaggio	Goya	El Greco	Velazquez	D	FINE ARTS
1	Who or what records the aircraft's technical data during flight?	the stewardess	the white cube	the black box	the magic cube	C	TECHNIQUE
2	How many discs are there in a mill in the game of the same name?	out of two	out of four	out of three	out of seven	C	GAME
3	What bird says "soon" in Edgar Allan Poe's poem?	parrot	raven	carvallo	crow	B	LITERATURE
4	Who founded the first kindergarten in Hungary?	Georgina Kratochwill	Maria Theresa	Teresa of Brunswick	Brandenburg Barball	C	HISTORY
1	Who or what keeps someone from seeing the forest, according to the saying?	from the mountain	from the hunter	from the deer	from the tree	D	LANGUAGE
2	Which is the life-giving river of Egypt?	Jordan	Euphrates	Ganges	Nile	D	GEOGRAPHY
3	What was the cup used for?	for counting	for travel	for coffee	to make music	B	LANGUAGE
4	With what title did Roman Polanski make a parody of a vampire movie?	Young Frankenstein	Interview with the Vampire	Dance of the Vampires	The father of vampires	C	MOVIE
5	What kind of animal is the osprey?	predator	sea fish	bird	rodent	C	BIOLOGY
6	Who sold their birthright for a bowl of lentils?	Isaac	Jacob	Esau	Elisha	C	RELIGION
7	What people's dance is the polka?	Ukrainian	Polish	Czech	Bulgarian	C	COUNTRIES
1	What happens to Pinocchio in the story when he lies?	his nose grows	blinks frequently	his ears stretch	starts limping	A	LITERATURE
2	What is the nickname of the Hun prince Attila?	horse-eating barbarian	steppe hyena	sulphurous god's arrow	the scourge of God	D	HISTORY
3	What are the "horseless" knights of the Foot Gallop looking for?	the Excalibur	the Holy Grail	King Arthur's parip	the Holy Cow	B	MOVIE
4	Which of the listed is the largest island in Hungary?	Szentendre Island	Margaret island	obuda Island	Csepel Island	D	GEOGRAPHY
5	What did the ancient Roman child have, if he had "style"?	wax tablet	writing instrument	calculator	his blue toga	B	HISTORY
6	What is the name of the Kertesz couple known from the series "Friends"?	Kriszta and Miklos	Moni and Gezu	Magdi and Vili	Esther and Misi	C	GENERAL
7	Which of the following is one of the ingredients of Styrian circumcision?	cottage cheese	cocoa	jam	walnut	A	KITCHEN
1	Jen Huszka wrote an operetta about what prince's name?	Bill	Bob	Joe	Sam	B	OPERA
2	What are they called shaslik?	eagle's nest	hunting weapon	skewered meat dish	binoculars	C	LANGUAGE
3	What did Robin Hood lead the rogues of?	the Scottish Highlands	Sherwood Forest	the southern fens	the port district	B	LITERATURE
4	Which of the following is the title of a play by Plautus?	The freedom soldier	The soldier in his seventies	The lead soldier	The checkered army	B	LITERATURE
5	What were the Olympic winners rewarded at the ancient Greek games?	with a thousand drachmas per head	with a wreath of olive branches	with gold bars	with a victory statuette	B	HISTORY
6	Who wrote the lyrics to the songs of Levente Szorenyi's rock opera Attila, the Sword of God?	John Brody	Sandor Lezsak	Elijah Lajos	Bela Tolcsvay	B	MUSIC
1	Where is the "medicine" according to folk wisdom?	in salt and pepper	in beer and wine	in grass and trees	in the forest-field	C	LANGUAGE
2	In which part of a house does Gabor Presser's musical, presented in 1987, take place?	in the basement	in the garage	in the attic	in the stairwell	C	MUSIC
3	Where was the first battle of the Hungarian War of Independence fought in 1848?	You would pickle	At Piski	At Schwechat	At Trencen	A	HISTORY
4	Who in the Welsh bards should they have glorified in Arany's verse?	Henrik	Richard	Edward	George	C	LITERATURE
5	The following word connections are often used in everyday life. Which conjunction is incorrect?	too big a wall	poignant question	heavy nut	born in a shell	C	LANGUAGE
6	The regime change of which Central and Eastern European country in 1989 is called the "Velvet Revolution"?	Hungary	Czechoslovakia	Poland	Romania	B	HISTORY
7	In which of the following areas did Noemi Ferenczy create a world-class path?	ceramics	tapestry	terracotta	mosaic	B	FINE ARTS
8	Which pop singer's album is called "True Colors"?	Carly Simon	Cyndi Lauper	Suzanne Vega	Gloria Estefan	B	MUSIC
9	Which of the following planets does not have a moon?	Mars	Jupiter	Venus	Neptune	C	SCIENCE
1	Who is tired twice, according to the saying?	the rest	the irresponsible	the precise	the postman	A	LANGUAGE
2	What does the cricket do in La Fontaine's tale The Cricket and the Ant?	collects	steals cheese	he plays the violin	jumps and jumps	C	LITERATURE
3	Which color is not in the flag of Italy?	green	red	blue	white	C	COUNTRIES
4	Which group wrote a song about the heroic days of the radio Szol a radio with the refrain?	Phonograph	Locomotive GT	Metro	V' Moto-Rock	B	MUSIC
5	Whose alliance was the XIII-XVII. century, the Hanseatic League?	Russian fishermen	English explorers	German trading cities	Portuguese colonists	C	HISTORY
6	At which Olympics did we win the most gold medals?	Helsinki 1952	Melbourne 1956	London 1948	Mexico City 1968	A	SPORTS
7	Andrew Lloyd Webber's musical Cats was born from whose poems?	Tim Rice	ETA Hoffmann	EA Poe	TS Eliot	D	MUSIC
8	In which opera can we hear "Levelaria"?	Puccini: Manon Lescaut	Puccini: Tosca	Verdi: Rigoletto	Verdi: Traviata	B	OPERA
9	In which part of our body are pins and rods found?	in the ear	in the tooth	in the nose	the opposite	D	BIOLOGY
1	Where does the steamer go according to the lyrics of the children's song?	blind track	To Kanizsa	into the car park	ruined	B	LITERATURE
2	Which of the following is made of chitin?	the armor of warships	armor of knights	armor of arthropods	the armor of safes	C	GENERAL
3	Which country is called the "land of the rising sun"?	Australia	China	India	Japan	D	COUNTRIES
4	What material were the famous Chinese soldier statues unearthed made of?	from clay	of limestone	of bronze	made of plaster	A	GENERAL
5	What is the name of the big-eared elephant in the Walt Disney cartoon?	Jabar	Dumbo	Jumbo	Babar	B	MOVIE
6	Who wrote the operetta The Queen of Inns?	Jr. Johann Strauss	Jen Huszka	Imre Kalman	Ferenc Lehar	C	OPERA
7	What is the name of Svejk's favorite pub?	Jug	Chalice	The joke is a sailor	Ferencjoska	B	LITERATURE
8	Where was Queen Elizabeth of Hungary assassinated in 1898?	in Geneva	in Marseille	Corfu	Crete	A	HISTORY
9	What role did Paul Newman play in the western Butch Cassidy and the Sundance Kid?	cattle herder	robber	sheriff	bar pianist	B	MOVIE
10	With which band did Zsuzsa Koncz first sing?	Omega ensemble	Elijah ensemble	Metro ensemble	Bergendy ensemble	A	MUSIC
1	What makes a master, according to the saying?	master's exam	exercise	sinewy	advertising	B	LANGUAGE
2	What fever is Charlie Chaplin's famous film about?	about myalgia	about fever	about gold rush	about pocket fever	C	MOVIE
3	What do Mexicans do with tequila?	they play music with it	they drink it	worn as a hat	they eat it	B	COUNTRIES
4	What is the name of the main character's servant in Mihaly Vorosmarty's Csongor and Tunde?	He's clumsy	Bamba	Set	Suta	A	LITERATURE
5	What material is the rhino horn made of?	bone	shit	hardened skin	petrified lime	B	BIOLOGY
6	What is the old name of Abyssinia?	Iran	Spain	Ceylon	Ethiopia	D	COUNTRIES
7	Which fish swims in an almost vertical posture?	sea urchin	tadpole	bat fish	seahorse	D	BIOLOGY
8	Who wrote "Perckering"?	Ferenc Liszt	Laner	Jr. Johann Strauss	Chopin	D	OPERA
1	Why don't we measure time?	with an hourglass	with a pocket watch	with a sundial	with shepherd's watch	D	GENERAL
2	Which body part or organ is larger than average for Cyrano de Bergerac?	ear	foot	liver	nose	D	LITERATURE
3	Where can we find the BUX index?	at the manicurist	in stock market news	driving test	for post-examination university students	B	GENERAL
4	The initial letter of the name of which city is included in the name of the FIAT car factory?	Turin	Alexandria	Come on	Florence	A	COUNTRIES
5	What kind of animal is the ocelot?	rodent	fish	feline	canine	C	BIOLOGY
6	What is the well-known abbreviation of the International Monetary Fund?	NVA	IMF	IOC	ICC	B	GENERAL
7	What is the name of the circle of Hungarian writers formed around Maria Terezia?	Teresians	bodyguard writers	courtiers	literary lovers from Vienna	B	HISTORY
8	What currency is used in Liechtenstein?	crown	francs	brand	shillings	B	COUNTRIES
9	What does improptu mean?	piano playing for four hands	musical improvisation	stormy musical performance	collection of songs	B	LANGUAGE
1	How does the saying go: "Slim as ..."	straw	vocal cord	stone fiber	reed	D	LANGUAGE
2	What magical instrument did Mozart write an opera about?	horn	bassoon	trumpet	flute	D	OPERA
3	Where is NATO headquarters?	new York	Geneva	Brussels	Strasbourg	C	COUNTRIES
4	Where was Jesus baptized?	in the Nile	in the waters of the Jordan River	in Lake Genezareti	in the Dead Sea	B	RELIGION
5	Where did the trial of war criminals take place in 1946?	in Nuremberg	in Frankfurt	in Munich	in Berlin	A	HISTORY
6	Who played the barber in the comedy Tell the Barber?	Gene Hackman	Jack Nicholson	Dustin Hoffman	Danny de Vito	D	MOVIE
7	Which is the largest peninsula in Europe?	Scandinavian Peninsula	Iberian Peninsula	Balkan Peninsula	Apennine Peninsula	A	GEOGRAPHY
8	In which city is Puccini's opera Tosca set?	in Paris	in Rome	In Venice	in Seville	B	OPERA
9	Which of the following separations is correct?	Shakespeare	Shakespeare	Shakespeare	Shakespeare	D	LANGUAGE
10	Under what name did Robert Allen Zimmerman become world famous?	Ringo Starr	Bob Dylan	Sting	Jimi Hendrix	B	MUSIC
11	Which of the following European countries is not a republic?	San Marino	Malta	Andorra	Iceland	C	COUNTRIES
12	Which club football team has won the most national championships?	Real Madrid	Juventus	Anderlecht	Glasgow Rangers	D	SPORTS
13	What is the nationality of Fortinbras, a character in Hamlet?	English	Danish	Swedish	Norwegian	D	LITERATURE
1	How does the nursery rhyme continue? "Sip-sip-kiss, ..."	ugly caterpillar	wild claw	six leprechauns	blind crow	D	LITERATURE
2	Who or what is the bayonet known from historical films and novels?	baroness	stabbing weapon	Bavarian bride	french sauce	B	LANGUAGE
3	What is the title of the world-famous musical: "The Opera House..."	horn	caretaker	his phantom	his bass	C	MUSIC
4	What is the name of a portable, flexible computer magnetic data storage disk?	CD-ROM	scanner	floppy disc	DVD	C	TECHNIQUE
5	What is a wine strainer?	barrel cleaning tool	sediment of refined wine	part of the grape press	pickled wine	B	LANGUAGE
6	What was the name of a two-person American spacecraft type?	Helios	Juno	Gemini	Mercury	C	SCIENCE
7	Who designed the "beetle-backed" Volkswagen?	Edmund Rumpler	Adam Opel	Ferdinand Porsche	Max Born	C	TECHNIQUE
1	What does the children's song about the tabby cat call for the disappearance of?	skein	sour cream	butter	hot porridge	C	LITERATURE
2	What is the horticultural art of creating dwarf ornamental trees called?	bonsai	banzai	hara-kiri	fujiyama	A	GENERAL
3	What kind of garment is the burnous?	footwear	jacket	pants	turban	B	GENERAL
