Nehezseg	Kerdes	A	B	C	D	Valasz	Kategoria
8	A Biblia szerint hova kerult Jozsef, miutan testverei eladtak?	Foniciaba	Sziriaba	Perzsiaba	Egyiptomba	D	VALLaS
9	Melyik varosunkban all a Galyarabok Emlekoszlopa?	Veszprem	Mohacs	Szigetvar	Debrecen	D	MAGYARORSZaG
10	Melyik nyelv modosult, onallo valtozata az afrikaans?	holland	angol 	francia	nemet	A	NYELV
11	Ki irta a "Dalok szoveg nelkul" cimu zongoraciklust?	Mendelssohn	Schumann	Brahms	Liszt Ferenc	A	OPERA
1	Ha valakit erosen ocsarolunk, akkor szidjuk, mint a ...	Bochkort	Borost	bokrot	borzot	C	NYELV
2	Ki volt a legendas Szabo neni hangja a radio Szabo csalad cimu musorban?	Dajka Margit	Komlos Juci	Varadi Hedi	Gobbi Hilda	D	aLTALaNOS
3	Melyik orszagot nevezik az "ezer to orszaganak"?	Finnorszagot	Kanadat	Hollandiat	Norvegiat	A	ORSZaGOK
4	Ki hozott hirt a magyar kiralynak a tatar veszedelemrol?	Anonymus barat	Julianus barat	Lorinc barat	Tuck barat	B	ToRTeNELEM
5	Melyik Beethoven egyetlen operaja?	Fidelio	Rigoletto	A varazsfuvola	Prometheusz	A	OPERA
1	Milyen szakallu hercegrol irt operat Bartok Bela?	osz	kek	rot	kecske	B	OPERA
2	Hogyan nevezik a sakkban a dontetlen egyik formajat?	matt	patt	sekk	krach	B	JaTeK
3	Melyik varosunkban rendezik februarban a busojarast?	Mohacson	Szigetvaron	Bajan	Pecsett	A	MAGYARORSZaG
4	Hol lakik Micimacko?	a kerekerdoben	az operencias-tengernel	a Szazholdas Pagonyban	az uveghegyen tul	C	IRODALOM
1	Milyen oroszlant ne ebresszunk fel a mondas szerint?	lanchidi	gyava	alvo	fogfajos	C	NYELV
2	Milyen "automatat" epitett Kempelen Farkas?	automata fenykepezogepet	sakkautomatat	kaveautomatat	automata kartyajatekost	B	TUDOMaNY
3	Mi alapjan josoljak meg eletutunkat az asztrologusok?	a napkitoresek	a madarak ropte	a bolygok allasa	a kave illata	C	TUDOMaNY
4	Ki volt az utolso arpad-hazi kiralyunk?	IV. Laszlo	III. Bela	II. Istvan	III. Andras	D	ToRTeNELEM
5	Ki eszik a zsakmanybol legeloszor egy oroszlanfalkaban?	a vezerhim	a kolyokhim	a vezernosteny	a kolyoknosteny	A	BIOLoGIA
6	Ki irta "A negy evszak" cimu hegeduverseny-sorozatot?	Antonio Vivaldi	Johann Sebastian Bach	Claudio Monteverdi	Joseph Haydn	A	OPERA
7	Kit nevezunk altalaban egy csoport doyenjenek?	a kikozositett tagot	a titkart	a korelnokot	a legfiatalabb tagot	C	aLTALaNOS
8	Ki az a hires festo, aki levagta a sajat fulet?	Gauguin	Cezanne	Van Gogh	Tolulouse-Lautrec	C	KePZoMuVeSZET
9	Mirol kapta nevet Az elatkozott part cimu Rejto-regeny egyik foszereploje?	a pofonjairol	a mosolyarol	buntetett eloeleterol	egy allati testreszrol	D	IRODALOM
1	Hova dugja a fejet, aki nem akar tudomasul venni valamit?	hamuba	homokba	csuklya moge	a hona ala	B	NYELV
2	Melyik madar "bizza" fiokai kikolteset mas madarakra?	sargarigo	seregely	galamb	kakukk	D	BIOLoGIA
3	Mi a neve a fenykepezogep felvetelre szolgalo lencserendszerenek?	aktiv	passziv	objektiv	szubjektiv	C	TECHNIKA
4	Ki a Rolling Stones egyuttes szoloenekese?	Mick Jagger	David Bowie	Elton John	Freddy Mercury	A	ZENE
5	Melyik italiai varosallamot iranyitottak a dozsek?	Velencet	Firenzet	Napolyt	Romat	A	ToRTeNELEM
6	Az alabbi festmenytemak kozul melyik lehet pieta?	egy gyumolcsostal	a fiat sirato Maria	csatajelenet	mitologiai jelenet	B	KePZoMuVeSZET
7	Ki kerdezte kitol a legenda szerint? "Quo vadis, Domine?" (Hova mesz, uram?)	Seneca Nero csaszartol	egy gladiator Augustustol	Peter apostol Jezustol	Ben Hur Messalatol	C	ToRTeNELEM
1	Egeszitse ki a mondast! " ... enged, ... szenved."	okos-butus	okos-szamar	szamar-oszver	eros-gyenge	B	NYELV
2	Milyen madar talalhato Hunyadi Matyas csaladi cimereben?	bagoly	hollo	varju	solyom	B	ToRTeNELEM
3	Kit vagy mit neveznek laptopnak?	itatospapirt	hordozhato szamitogepet	angol kodexmasolot	mocsari viragot	B	NYELV
4	Melyik a legregibb budapesti hid?	az Erzsebet hid	a Margit hid	a Lanchid	a Szabadsag hid	C	aLTALaNOS
5	Ki nem volt a koszivu ember fia?	odon	Richard	Otto	Jeno	C	IRODALOM
6	Ki nyerte meg az elso Magyar Nagydijat a Forma 1-ben?	Alain Prost	Nigel Mansell	Nelson Piquet	Ayrton Senna	C	SPORT
1	Milyen mertekegysegben merik az arany finomsagat?	grammban	kaloriaban	loeroben	karatban	D	TUDOMaNY
2	Mit ad a kartyajatekosoknak a kibic?	uj leosztast	jo lapokat	keretlen tanacsokat	zsetonokat	C	aLTALaNOS
3	Melyik folyo vezeti le a Balaton vizfelesleget?	Sio	Raba	Zala	Marcal	A	FoLDRAJZ
4	Mi Kanada fovarosa?	Toronto	Ottawa	Montreal	Quebec	B	ORSZaGOK
5	Mi a neve a finn nepi eposz, a Kalevala foszereplojenek?	Mika Waltari	Mauno Koivisto	Vejnemojnen	Paavo Nurmi	C	IRODALOM
6	Hany bajnoksagon kell nyerni teniszben, hogy valaki Grand Slam gyoztes legyen?	hat	ot	harom	negy	D	SPORT
7	Kik voltak az iszlam uralkodok testorei?	az eunuchok	a mamelukok	az effendik	a kadik	B	ToRTeNELEM
8	Mi volt Svejknek, a derek katonanak a foglalkozasa?	kocsmaros	tabori lelkesz	kutyakereskedo	postas	C	IRODALOM
9	Az alabbiak kozul melyik nem nemesgaz?	radon	brom	argon	helium	B	TUDOMaNY
10	Hol rendeztek 1930-ban az elso labdarugo vilagbajnoksagot?	Olaszorszagban	Franciaorszagban	Uruguayban	Braziliaban	C	SPORT
11	Az alabbiak kozul melyik nyelv tartozik a neolatin nyelvek koze?	holland	breton	cseh	katalan	D	NYELV
12	Melyik varos puspoke volt Szent Miklos, akit a Mikulassal azonositunk?	Hippo	Bizanc 	Antiokheia	Myra	D	VALLaS
1	Hogy hivjak a Haromkiralyokat?	Gaspar, Menyhert, Boldizsar	Szervac, Pongrac, Bonifac	Sandor, Jozsef, Benedek	Mark, Mate, Lukacs	A	VALLaS
2	Mi akadalyozza meg a palyaudvarokon a vasuti kocsik lejutasat a vaganyrol?	vaganybika	vagonuru	vaganybak	mozdonykos	C	aLTALaNOS
3	Egeszitse ki a regeny cimet! "Zorbasz, a ..."	gorog	torok	tancos	halasz	A	IRODALOM
4	Milyen butorfajta a sublot?	asztal	szekreny	polc	agy	B	aLTALaNOS
5	Melyik a legnagyobb testu macskafaj?	oroszlan	sziberiai tigris	parduc	hiuz	B	BIOLoGIA
6	Melyik a Fold legmelyebb tava?	Malawi (Nyasza)-to	Bajkal-to	Tanganyika-to	Nagy-Rabszolga-to	B	FoLDRAJZ
7	Hol rendeztek meg az Europai Biztonsagi es Egyuttmukodesi ertekezletet 1975-ben?	Washington	Parizs	Genf	Helsinki	D	ToRTeNELEM
8	Mi az eredeti neve a Beatles legendas dobosanak, Ringo Starrnak?	Richard Wayne Penniman	Richard Starkey	Harry Rodger Webb	Lionel Richie	B	ZENE
9	Kinek a regenyebol keszitette Fabri Zoltan Az otodik pecset cimu filmet?	Berkesi Andras	Illyes Gyula	Santa Ferenc	Feja Geza	C	IRODALOM
10	Mibol keszult a florentinkalap?	szalmabol	nemzett pamutbol	kartonbol	posztobol	A	aLTALaNOS
11	Ki nem adott elo James Bond-film focimdalt az alabbi hires zeneszek kozul?	Paul McCartney	Tom Jones	Louis Amstrong	David Bowie	D	ZENE
1	Mit hasznaltak regen az autosok az auto motorjanak beinditasahoz?	kurblit	verklit	vurslit	veknit	A	TECHNIKA
2	Melyik ragcsalorol kapta nevet a szamitogep egyik tartozeka?	horcsog	eger	pocok	urge	B	aLTALaNOS
3	Mi cseng fel "ej-melybol" Weores Sandor verseben?	noi kacagas	altatodal	szancsengo	az oszeres hangja	C	IRODALOM
4	Kivel irta kozosen Marx a Kommunista Kialtvanyt?	Leninnel	Engelsszel	Frankel Leoval	Rosa Luxemburggal	B	ToRTeNELEM
5	Ki nem volt Erdely fejedelme?	II. Rakoczi Gyorgy	Bethlen Gabor	Bottyan Janos	Bathory Zsigmond	C	ToRTeNELEM
6	Ki tagadta meg haromszor Jezust?	Tamas	Judas	Pal	Peter	D	VALLaS
7	A ruha melyik resze a slepp?	az uszalya	a nyakfodra	a vallpantja	a diszes gombja	A	aLTALaNOS
8	Hol lathato Magyarorszagon barokk kohid?	Egerben	Kalocsan	Szentendren	Vacott	D	MAGYARORSZaG
9	Melyik varosban alapitottak az ENSZ-t?	San Franciscoban	Genfben	Parizsban	New Yorkban	A	ORSZaGOK
1	Mit mondunk a beketuro emberre?	teknospancelu	galamblelku	baranyszivu	nyuszikedelyu	B	aLTALaNOS
2	Az alabbiak kozul melyik egy kartyajatek neve?	porkoles	hamozas	zsirozas	dinszteles	C	JaTeK
3	Milyen "akac" szerepel a Szep Erno-mu cimeben?	szuros	lila	viragzo	feher	B	IRODALOM
4	Mit alapitott Pazmany Peter Nagyszombatban?	csillagvizsgalot	szerzetesrendet	ujsagot	egyetemet	D	ToRTeNELEM
5	Ki orokitette meg Lady Diana emleket "Gyertyak a szelben" cimu dalaval?	Mick Jagger	Elton John	Rod Stewart	Paul McCartney	B	ZENE
6	Milyen menetelesnek nevezik a kinai kommunista hadsereg 1934-1935-os hadmuveletet?	voros	veres	hosszu	eroltetett	C	ToRTeNELEM
7	Kinek a nevehez fuzodik a mondas? "Jottem, lattam, gyoztem."	Julius Caesar	Kolumbusz	Nagy Sandor	Napoleon	A	ToRTeNELEM
8	Kirol irta Dallos Sandor az Aranyecset cimu eletrajzi regenyt?	Munkacsy Mihalyrol	Csok Istvanrol	Rippl-Ronai Jozsefrol	Szinyei Merse Palrol	A	IRODALOM
9	Hany kepviseloi hely van a magyar orszaggyulesben?	357	364	386	405	C	aLTALaNOS
1	Hogyan folytatodik a mondas? "Kis penz, ..."	kis orszag	kis foci	nagy bunda	nagy zako	B	aLTALaNOS
2	A nepdal szerint mivel van kirakva a szantoi hires utca?	gazcsovekkel	cimbalommal	csillagokkal	kabatgombbal	B	IRODALOM
3	Milyen anyagbol keszul a "romai tal" nevu sutoedeny?	acelbol	porcelanbol	hoallo uvegbol	agyagbol	D	TECHNIKA
4	Mi a jegesmedvek fo taplaleka?	plankton	foka	alga	pingvin	B	BIOLoGIA
5	Az alabbi novenyek kozul melyik a mak rokona?	pipacs	tulipan	muskatli	liliom	A	BIOLoGIA
6	Melyik sportolonk nyerte a legtobb egyeni olimpiai bajnoksagot?	Gerevich Aladar	Keleti agnes	Egerszegi Krisztina	Balczo Andras	C	SPORT
7	Melyik kiralyunk fulladt a mohacsi csata idejen a Csele-patakba?	II. Lajos	I. Lajos	II. Ulaszlo	I. Ulaszlo	A	ToRTeNELEM
8	Mi a cime a George Clooney foszereplesevel keszult filmnek: "Sivatagi ..."	rokak	capak	tevek	vihar	B	FILM
1	Fejezze be a szolast: "A kecske is jollakik, ..."	mert megnyalta a sot	a gida is gombolyodik	a kaposzta is megmarad	a karalabe is elfogy	C	NYELV
2	Mivel valt hiresse a brit komikus, Rowan Atkinson?	Mr. Pea	Mr. Carrot	Mr. Tomato	Mr. Bean	D	aLTALaNOS
3	A ruha melyik reszet hivtak pitykenek?	a felhajtasat	a zsebet	a gombjat	a gallerjat	C	aLTALaNOS
4	Mi Bajororszag fovarosa?	Munchen	Dusseldorf	Hamburg	Nurnberg	A	ORSZaGOK
5	Milyen baromfi a kappan?	him liba	nosteny kacsa	herelt kakas	keveset tojo tyuk	C	BIOLoGIA
6	Mibol keszult a papirusz, amire az okori Egyiptomban a feljegyzeseket felkeszitettek?	disznoborbol	egetett agyagbol	vizinovenybol	kaucsukbol	C	TECHNIKA
7	Melyik varosban tekintheto meg az Atomium?	Parizs	Brusszel	Amszterdam	Bern	B	ORSZaGOK
8	Melyik nincs egy dizelmotoros gepjarmuben?	karburator	dugattyu	differencialmu	generator	A	TECHNIKA
9	Melyik magyar hiresseg szuletett Szodemeteren?	Ady Endre	Kolcsey Ferenc	Arany Janos	Gardonyi Geza	B	IRODALOM
10	Melyik szervunk vizsgalataert kapott orvosi Nobel-dijat Bekesy Gyorgy?	az agy	a szem	a ful	a sziv	C	BIOLoGIA
1	Egeszitse ki a mondast! "Akinek nem inge, ..."	annak bugyogoja	ne vegye magara	ne varrjon ra gombot	ne hordja el maset	B	NYELV
2	Mi a Nagy Medve csillagkep egy reszenek nepies elnevezese?	Tejut	Esthajnalcsillag	Goncolszeker	Medvebocs	C	NYELV
3	Hogyan neveztek az okori gorogok onmagukat?	etruszkok	hellenek	frigek	keltak	B	ToRTeNELEM
4	Az alabbiak kozul melyik nem amerikai automarka?	Ford	Cadillac	Buick	Renault	D	TECHNIKA
5	Mit gyartottak a bognarok?	patkokat	kerekeket	cipot	palinkat	B	aLTALaNOS
6	Hany nappal koveti a punkosd a husvetot?	50	35	40	mindig valtozo	A	aLTALaNOS
1	Miert kene Debrecenbe menni a gyermekdal szerint?	megnezni a viragfesztivalt	setalni a Nagyerdoben	megnezni a Nagytemplomot	pulykakakast venni	D	IRODALOM
2	Mit neveznek papramorgonak?	a palinkat	a hamis kutyat	a dodollet	a lusta kantort	A	NYELV
3	Milyen anyagot tartalmaznak a hagyomanyos molyirtok?	naftalint	nikotint	koffeint	halogent	A	TUDOMaNY
4	Mi az oktans?	iskolai fenyito eszkoz	rossz minosegu benzin	afrikai vadtulok	csillagaszati szogmero muszer	D	NYELV
5	Milyen szinu orszagos turistajelzes halad vegig hazank hegysegein?	kek	sarga	piros	zold	A	aLTALaNOS
6	Melyik varos Komarom-Esztergom megye szekhelye?	Komarom	Tatabanya	Esztergom	Tata	B	FoLDRAJZ
7	Milyen betegseget terjeszt a cecelegy?	sargalazt	influenzat	alomkort	malariat	C	BIOLoGIA
1	Folytassa a mondast! "Ki mint veti agyat, ..."	ugy arat	ugy alussza almat	addig nyujtozkodik	olyan a fogadjisten	B	NYELV
2	Hogyan nevezzuk a bekak larvaallapotat?	alga	ebihal	pondro	csibor	B	BIOLoGIA
3	Mely orszagot iranyitotta az Evita cimu musicalbol is ismert Peron hazaspar?	Argentina	Chile	Peru	Brazilia	A	ToRTeNELEM
4	Hol lepett eloszor ember a Holdra?	az Unalom Tengeren	a Portengeren	a Nyugalom Tengeren	a Zabhegyen	C	TUDOMaNY
5	Hova epitenek egy manzardszobat?	az alagsorba	a foldszintre	a felemeletre	a tetoterbe	D	aLTALaNOS
6	Kit neveznek "az anyak megmentojenek"?	Koranyi Sandort	Hogyes Endret	Heim Palt	Semmelweis Ignacot	D	BIOLoGIA
7	Milyen foglalkozast uzott Csontvary negyven eves koraig?	tanar	gyogyszeresz	gazdalkodo	sebesz	B	KePZoMuVeSZET
8	Honnan indult el vegzetes utjara a Titanic?	New York	Liverpool	Southampton	Brighton	C	aLTALaNOS
1	Mit hasznalt az elso emberpar "ruha" gyanant a Paradicsomban?	almahejat	fugefalevelet	kigyobort	kacaganyt	B	VALLaS
2	Melyik kutyafajtat hasznaljak vadaszatokon?	a pumit	a vizslat	a komondort	a bobtailt	B	aLTALaNOS
3	Melyik olasz varos fekszik a Vezuv labanal?	Bologna	Napoly	Palermo	Ravenna	B	FoLDRAJZ
4	Hogy hivtak a radio elodjenek szamito telefonos szolgaltatast?	telehirnok	telefonhirmondo	radiotelefon	telefonhirado	B	TUDOMaNY
5	Mi a neve a Georges Simenon regenyeibol ismert felugyelonek?	Poirot	Columbo	Maigret	Derrick	C	IRODALOM
6	Kije volt Zrinyi Miklos a Szigeti veszedelem iroja Szigetvar vedojenek?	unokaja	dedunokaja	fia	aprodja	B	IRODALOM
7	Hogy nevezik az izraeli egykamaras torvenyhozast?	Kneszet	Likud	Hagana	MOSZAD	A	aLTALaNOS
8	Melyik szo irasmodja helytelen?	csevely	kevely	mosoly	tavaly	A	NYELV
9	Melyik nepcsoportban voltak a lofok?	a ruteneknel	a kunoknal	a szekelyeknel	a sokacoknal	C	ToRTeNELEM
10	Mi az allamformaja a Vatikannak?	alkotmanyos monarchia	papasag	teokratikus kiralysag	koztarsasag	C	ORSZaGOK
1	Melyik allat lett a cimadoja ifj. Johann Strauss egyik operettjenek?	a pulyka	a csiga	a foka	a denever	D	OPERA
2	Hogy neveztek a szinhazi eloadas szuneteiben eloadott jelenetet?	jutalomjatek	kozjatek	macskajatek	vendegjatek	B	SZiNHaZ
3	Ki volt Csak Mate?	a csako feltalaloja	kiralyi csakanymester	szalmatulajdonos	kiskiraly	D	ToRTeNELEM
4	Melyik orszaghoz tartozik ma Trieszt?	Jugoszlavia	Olaszorszag	Horvatorszag	Bosznia-Hercegovina	B	ORSZaGOK
5	Ki az, akit az egri remetekent szokas emlegetni?	Szent Gellert	Gardonyi Geza	Dobo Istvan	Berzsenyi Daniel	B	aLTALaNOS
6	Mit neveztek az okori gorog varosallamokban agoranak?	a templomot	a piacteret	a fokaput	a kozkutat	B	ToRTeNELEM
7	Milyen hal kerul a japanok nepszeru etelebe, a sushiba?	pacolt	nyers	sult	fustolt	B	KONYHA
8	Milyen eredetu tanc a hula?	lengyel	spanyol	hawaii	gorog	C	aLTALaNOS
9	Melyik opera szereploi Donna Anna, Donna Elvira es Don Ottavio?	Don Carlos	Don Giovanni	Don Pasquale	Don Quijote	B	OPERA
1	Mi az elektromos feszultseg mertekegysege?	van	nincs	volt	lesz	C	TUDOMaNY
2	Milyen "agyu" a katonai mozgokonyha?	porkolt	gulyas	tokany	hurka	B	NYELV
3	Melyik kavehazbol indult az 1848-as pesti forradalom?	Batavia	New York	Pilvax	arkadia	C	ToRTeNELEM
4	Melyik szokapcsolat nem hibas nyelvhelyessegi szempontbol?	onmukodo automata	harmonikus kapcsolat	bestialis fenevad	hetvegi vikendhaz	B	NYELV
5	Melyik ket folyo menten alakult ki a mezopotamiai kultura?	Tigris es Eufratesz	Indus es Gangesz	Jangce es Hoang-ho	Nilus es Kagera	A	ToRTeNELEM
6	Melyik varosunkban all a Szigligeti Ederol elnevezett szinhaz?	Kaposvar	Veszprem	Szolnok	Gyula	C	SZiNHaZ
7	Melyik folyon pihen az a versbeli komp, amelyben "hallgat a sotetseg"?	Tisza	Szamos	Duna	Maros	B	IRODALOM
8	Melyik orszag teruleten talalhato a Labrador-felsziget?	USA	Argentina	Kanada	Mexiko	C	FoLDRAJZ
9	Mit jelent a Vosztok urhajo neve?	del	voros	csillag	kelet	D	NYELV
10	Kinek a vallomasai szerepelnek Marai Sandor regenyenek cimeben?	egy bunos	egy polgar	egy vilagcsavargo	egy szamuzott	B	IRODALOM
11	Ki jatszotta a noi foszerepet a Volt egyszer egy vadnyugat cimu westernfilmben?	Raquel Welch	Claudia Cardinale	Monica Vitti	Brigitte Bardot	B	FILM
1	Hol van a mondas szerint az, akire haragszom?	a markomban	a csoromben	a begyemben	a zsebemben	C	NYELV
2	Hogyan alszanak a deneverek?	repules kozben	fejjel lefele	allva	mas feszkebe bujva	B	BIOLoGIA
3	Mibol keszul a ringli?	szardellabol	rakbol	osztrigabol	polipbol	A	KONYHA
4	Mikor lesz egy fenykep alulexponalt?	ha sok a feny	ha keves a feny	ha nagy a tavolsag	ha alacsony a fenykepesz	B	TUDOMaNY
5	Melyik filmben szerepel a "Villa Negra"?	A tizedes meg a tobbiek	Egeszseges erotika	Hattyudal	Pacsirta	C	FILM
1	Mit dug a haziorvos vizsgalatkor a fulebe?	fonendoszkopot	horoszkopot	kaleidoszkopot	teleszkopot	A	BIOLoGIA
2	Hany orabol all egy het?	168	170	144	150	A	aLTALaNOS
3	Milyen fegyverrel gyozte le David Goliatot?	bumeranggal	parittyaval	dardaval	szekercevel	B	VALLaS
4	Mire hasznaltak a portugalok a karavellat?	likorkeszitesre	hajozasra	ekszerkeszitesre	epitkezesre	B	ToRTeNELEM
5	Kit talalnak holtan a radvanyi sotet erdoben Arany balladajaban?	Kund Abigelt	Barczi Benot	Szondi ket aprodjat	Zach Klarat	B	IRODALOM
6	Hogyan nevezik az okori karthagoiakat maskeppen?	trakok	illirek	sumerok	punok	D	ToRTeNELEM
7	Melyik varost tartjak a dzsessz szulohazajanak?	New Orleans	Memphis	Boston	Charleston	A	ZENE
8	Az alabbi szinesznok kozul kirol neveztek el Budapesten szinhazat?	Ruttkai eva	Gobbi Hilda	Dajka Margit	Domjan Edit	A	SZiNHaZ
9	Hol talalhato a Nemzetkozi Valutaalap (IMF) szekhelye?	Brusszel	Genf 	Parizs 	Washington	D	ORSZaGOK
1	Mit csinal az, aki nagyszabasu eszkozoket hasznal fel kisszeru celra?	Mamuttal megy egeret fogni.	agyuval lo verebre.	Sodronnyal stoppolja a zoknit.	Gyonggyel eteti a disznot.	B	NYELV
2	Mi Nora foglalkozasa a Baratok kozt cimu sorozatban?	ugyved	epitesvezeto	pultos	fogorvos	A	aLTALaNOS
3	Kit vagy mit neveznek politurnak?	szazad eleji politikust	butorfenyezo anyagot	diplomaciai utazast	a polonium elektronjait	B	NYELV
4	Milyen talalmanyt koszonhet Europa Gutenberg Janosnak?	a villanyegot	a kerekpart	a konyvnyomtatast	a gozgepet	C	TECHNIKA
5	Milyen noi ruhadarab volt a mider?	erenyov	selyembugyi	fuzo	terdharisnya	C	aLTALaNOS
6	Milyen cimet viselt a Pakozdnal legyozott Jellasics?	porosz generalis	erdelyi fejedelem	horvat ban	csaszari hadugyminiszter	C	ToRTeNELEM
7	Mi a neve a hohernak A nema levente cimu Heltai-szinmuben?	Setet Lajos	oreg Bako	Veres Mester	Rettenthetetlen	A	IRODALOM
8	Hol talalhato a Yellowstone Nemzeti Park?	az Andokban	a Sziklas-hegysegben	az Atlasz-hegysegben	a Pireneusokban	B	FoLDRAJZ
9	Ki nem nyert olimpiai bajnoksagot uszasban?	Gyarmati Andrea	Egerszegi Krisztina	Szoke Kato	Temes Judit	A	SPORT
1	Mive nem valik a ver a mondas szerint?	vizze	borra	froccse	aludttejje	A	NYELV
2	Melyik varos nevezetessege a Colosseum?	Roma	Parizs	Becs	Firenze	A	ORSZaGOK
3	Mire hasznaltak a kezzel kicsepelt, csomoba kotott rozsszalmat, a zsupot?	fuggoagynak	vizi jarmunek	tetofedesre	parnatomesre	C	aLTALaNOS
4	Mirol nevezetes a spanyolorszagi Altamira-barlang?	cseppkoveirol	folyorendszererol	medveirol	falrajzairol	D	NYELV
5	Az alabbiak kozul kit vagy mit neveznek bajadernak?	oszulo bajuszt	teli csapadekot	indiai tancosnot	bajai menyecsket	C	NYELV
6	Melyik olimpian nem szerzett aranyermet okolvivasban Papp Laszlo?	1960-ban Romaban	1952-ben Helsinkiben	1956-ban Melbourne-ben	1948-ban Londonban	A	SPORT
7	Milyen Nobel-dijat kapott Graham Bell, a telefon feltalaloja?	kemiait	nem kapott	fizikait	fiziologiait	B	TUDOMaNY
8	Milyen neven nyilt meg 1837-ben Pest elso magyar szinhaza?	Nemzeti Szinhaz	Pesti Vig Szinhaz	Pesti Magyar Szinhaz	Pesti Thalia Szinhaz	C	SZiNHaZ
9	Federico Fellini melyik filmjet nem dijaztak a legjobb kulfoldi filmnek jaro Oscar-dijjal?	Amarcord	Orszaguton	Az edes elet	8 es fel	C	FILM
1	Ki a fohose a "La Mancha lovagja" cimu musicalnek?	Robin Hood	Janos vitez	Don Quijote	Zorro	C	ZENE
2	Az alabbiak kozul melyik husbol keszul az ujhazy Ederol elnevezett leves?	tyuk	marha	sertes	birka	A	KONYHA
3	Milyen idomitott harci allatok kotodnek Hannibal, pun hadvezer nevehez?	tigrisek	farkasok	kigyok	elefantok	D	ToRTeNELEM
4	Melyik sportagban szokas hattal celba erni?	kenuzasban	kajakozasban	dijlovaglasban	evezesben	D	SPORT
5	Mit tesz a cim szerint Piszkos Fred Fulig Jimmy oszinte sajnalatara?	pofozkodik	visszater	kozbelep	olajra lep	C	IRODALOM
6	Mely tevekenyseg soran hasznaltak a mangorlot?	mosas	aratas	etkezes	szantas	A	aLTALaNOS
7	Hol talalhatunk szilakat?	gyumolcsosben	cetek szajaban	hegyvideken	tukorboltban	B	NYELV
8	Melyik italiai varos urai voltak a Mediciek?	Roma	Firenze	Napoly	Pescara	B	ToRTeNELEM
9	Milyen neven lett sikeres dramairo Szathmary Jozsef?	Garay Janos	Csiky Gergely	Kisfaludy Karoly	Szigligeti Ede	D	IRODALOM
10	Melyik orszag egyetlen szomszedja a Del-afrikai Koztarsasag?	Malawi	Lesotho	Szvazifold	Botswana	B	ORSZaGOK
11	Ki volt az Egyesult allamok elnoke a vietnami haborut lezaro fegyverszuneti egyezmeny alairasakor?	Ford	Nixon	Johnson	Carter	B	ToRTeNELEM
1	Kirol szolt a Szorenyi-Brody szerzoparos elso nagy sikeru rock-operaja?	Pato Palrol	Ferenc Jozsefrol	Istvan kiralyrol	Hary Janosrol	C	ZENE
2	"Fabatkat sem er."- mondjuk az ertektelen dologra. Mit neveztek regen batkanak?	gabonamagot	inggombot	apropenzt	paranyi eloskodot	C	NYELV
3	Kiket neveztek regen taljanoknak?	a franciakat	a tatarokat	az oroszokat	az olaszokat	D	NYELV
4	Mit csinalnak egymas vezerevel a sakkjatekosok, amikor vezercsere tortenik?	kiralyra cserelik	kolcsonosen kiutik	szint cserelnek	futora cserelik	B	JaTeK
5	Melyik vitamin hianya okoz skorbutot?	C vitamin	D vitamin	A vitamin	E vitamin	A	BIOLoGIA
6	Mit jelent ez a kifejezes: casus belli?	jelenlegi helyzet	enyhito korulmeny	haborus ok	szepasszony	C	NYELV
7	Kik kaphatjak a Goncourt-dijat?	sportolok	irok	misszionariusok	zeneszerzok	B	aLTALaNOS
8	Melyik magyar varosban harangoznak 11 orakor is?	Szombathelyen	Gyorben	Sopronban	Koszegen	D	MAGYARORSZaG
9	Ki alkotta meg az elektrolizis torvenyeit?	James Joule	Louis Gay-Lussac	Humphry Davy	Michael Faraday	D	TUDOMaNY
10	Melyik az egyetlen magyarorszagi alapitasu szerzetesrend?	ciszterciek	domonkosok	bencesek	palosok	D	VALLaS
11	Ki nem volt az 1848. aprilisaban beiktatott Batthyany-kormany tagja?	Meszaros Lazar	Klauzal Gabor	Fay Andras	Esterhazy Pal	C	ToRTeNELEM
12	Mit jelent magyarul Costa Rica neve?	jo szerencse	gazdag tengerpart	vastag fold	bovizu folyo	B	NYELV
13	Sergio Leone melyik westernfilmjeben nem Clint Eastwood jatssza a foszerepet?	Egy mareknyi dollarert	Egy marek dinamit	A jo, a rossz es a csuf	Nehany dollarral tobbert	B	FILM
1	Miert megy a kisnyulacska az erdobe a gyerekdal szerint?	repacskaert	vesszocskert	rokacskaert	fuvecskert	B	IRODALOM
2	Mi a cime Bruce Willis nagy sikeru akciofilmjenek: "Dragan ...!"	vedd a fegyvered	sugd a titkokat	valallj szerepet	add az eleted	D	FILM
3	Hany pont van egy dobokockan?	18	23	20	21	D	JaTeK
4	Hol van a NATO kozpontja?	New York	Genf 	Brusszel	Strasbourg	C	aLTALaNOS
5	Melyik allatfajnak nem lehet elotagja az angora?	kecske	macska	nyul	nyest	D	BIOLoGIA
6	Melyik hires csillagasz alakjat olti magara adam Az ember tragediajaban?	Kopernikusz	Kepler	Giordano Bruno	Galileo Galilei	B	IRODALOM
7	Kinek a jelmondata volt: "Jo szerencse, semmi mas."	Thokoly Imre	Hunyadi Janos	II. Rokoczi Ferenc	Zrinyi Miklos	D	ToRTeNELEM
1	Egeszitse ki a kozmondast! "..., busuljon a lo!"	elfogyott a zab	negy laba van	nagy a feje	meghizott a huszar	C	NYELV
